soc_code_clean,high_exposure_score,low_exposure_score,ai_exposure_score,soc_code,occupation_title_2020,employment_2020,occupation_title_2025,employment_2025,pct_change
47-2042,2.0925000000000002,2.921666666666667,-0.8291666666666666,47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",16720.0,"Floor Layers, Except Carpet, Wood, and Hard Tiles",23640.0,41.38755980861244
47-2043,2.245,2.935,-0.69,47-2043,Floor Sanders and Finishers,5100.0,Floor Sanders and Finishers,3720.0,-27.058823529411764
47-2044,2.2875,2.603333333333333,-0.31583333333333297,47-2044,Tile and Stone Setters,38150.0,Tile and Stone Setters,35850.0,-6.028833551769332
47-2051,2.0700000000000003,2.6199999999999997,-0.5499999999999994,47-2051,Cement Masons and Concrete Finishers,195580.0,Cement Masons and Concrete Finishers,206170.0,5.414664076081399
47-2053,2.0925000000000002,2.815,-0.7224999999999997,47-2053,Terrazzo Workers and Finishers,2970.0,Terrazzo Workers and Finishers,1180.0,-60.26936026936027
47-2061,1.6925,2.7066666666666666,-1.0141666666666667,47-2061,Construction Laborers,971330.0,Construction Laborers,1096780.0,12.91528110940669
47-2071,1.9775,2.685,-0.7075,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",44560.0,"Paving, Surfacing, and Tamping Equipment Operators",41820.0,-6.149012567324955
47-2072,2.4074999999999998,3.1633333333333336,-0.7558333333333338,47-2072,Pile Driver Operators,3820.0,Pile Driver Operators,2310.0,-39.52879581151832
47-2073,1.7525,2.5766666666666667,-0.8241666666666667,47-2073,Operating Engineers and Other Construction Equipment Operators,402870.0,Operating Engineers and Other Construction Equipment Operators,478090.0,18.671035321567754
47-2081,2.4050000000000002,2.9583333333333335,-0.5533333333333332,47-2081,Drywall and Ceiling Tile Installers,99700.0,Drywall and Ceiling Tile Installers,83080.0,-16.67001003009027
47-2082,2.005,2.6933333333333334,-0.6883333333333335,47-2082,Tapers,16320.0,Tapers,12840.0,-21.323529411764707
47-2111,2.3375,2.8466666666666662,-0.5091666666666663,47-2111,Electricians,656510.0,Electricians,757220.0,15.340208069945621
47-2121,2.16,2.8216666666666668,-0.6616666666666666,47-2121,Glaziers,52190.0,Glaziers,58480.0,12.052117263843648
47-2131,1.8475,2.6016666666666666,-0.7541666666666667,47-2131,"Insulation Workers, Floor, Ceiling, and Wall",32780.0,"Insulation Workers, Floor, Ceiling, and Wall",44440.0,35.57046979865772
47-2132,2.95,3.5083333333333333,-0.5583333333333331,47-2132,"Insulation Workers, Mechanical",27700.0,"Insulation Workers, Mechanical",25660.0,-7.36462093862816
47-2141,1.7974999999999999,2.603333333333333,-0.8058333333333332,47-2141,"Painters, Construction and Maintenance",217880.0,"Painters, Construction and Maintenance",225190.0,3.355057829998164
47-2142,2.605,2.775,-0.16999999999999993,47-2142,Paperhangers,2820.0,Paperhangers,1570.0,-44.32624113475177
47-2151,2.2275,2.7283333333333335,-0.5008333333333335,47-2151,Pipelayers,33950.0,Pipelayers,33050.0,-2.6509572901325478
47-2152,2.79125,3.3808333333333334,-0.5895833333333336,47-2152,"Plumbers, Pipefitters, and Steamfitters",417440.0,"Plumbers, Pipefitters, and Steamfitters",465840.0,11.594480643924875
47-2161,2.0324999999999998,2.795,-0.7625000000000002,47-2161,Plasterers and Stucco Masons,25210.0,Plasterers and Stucco Masons,19310.0,-23.403411344704484
47-2171,2.7125,2.965,-0.25249999999999995,47-2171,Reinforcing Iron and Rebar Workers,18680.0,Reinforcing Iron and Rebar Workers,13800.0,-26.124197002141326
47-2181,2.1025,3.1183333333333336,-1.0158333333333336,47-2181,Roofers,128680.0,Roofers,135490.0,5.292197699720236
47-2211,2.6624999999999996,2.8716666666666666,-0.20916666666666694,47-2211,Sheet Metal Workers,128220.0,Sheet Metal Workers,119770.0,-6.59023553267821
47-2221,2.425,3.3983333333333334,-0.9733333333333336,47-2221,Structural Iron and Steel Workers,71490.0,Structural Iron and Steel Workers,68380.0,-4.350258777451392
47-2231,2.885,3.526666666666667,-0.641666666666667,47-2231,Solar Photovoltaic Installers,11490.0,Solar Photovoltaic Installers,31350.0,172.84595300261097
47-3011,1.7675,2.6016666666666666,-0.8341666666666665,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",21410.0,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",14170.0,-33.81597384399813
47-3012,2.2725,2.9599999999999995,-0.6874999999999996,47-3012,Helpers--Carpenters,30900.0,Helpers--Carpenters,21680.0,-29.838187702265373
47-3013,2.885,3.436666666666667,-0.5516666666666672,47-3013,Helpers--Electricians,73920.0,Helpers--Electricians,63630.0,-13.920454545454545
47-3014,1.6875,2.0816666666666666,-0.39416666666666655,47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",9500.0,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",7490.0,-21.157894736842106
47-3015,2.44,3.0749999999999997,-0.6349999999999998,47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",55740.0,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",44330.0,-20.47003946896304
47-3016,2.8725,3.483333333333333,-0.6108333333333329,47-3016,Helpers--Roofers,8390.0,Helpers--Roofers,6030.0,-28.128724672228845
47-4011,3.16875,3.1483333333333334,0.02041666666666675,47-4011,Construction and Building Inspectors,113770.0,Construction and Building Inspectors,146720.0,28.96194075766898
47-4021,2.8600000000000003,3.2416666666666667,-0.3816666666666664,47-4021,Elevator and Escalator Installers and Repairers,24730.0,Elevator and Escalator Installers and Repairers,23790.0,-3.801051354630004
47-4031,2.4125,3.2899999999999996,-0.8774999999999995,47-4031,Fence Erectors,27010.0,Fence Erectors,24480.0,-9.366901147723066
47-4041,2.565,3.1483333333333334,-0.5833333333333335,47-4041,Hazardous Materials Removal Workers,44010.0,Hazardous Materials Removal Workers,51710.0,17.49602363099296
47-4051,2.3024999999999998,3.0433333333333334,-0.7408333333333337,47-4051,Highway Maintenance Workers,149890.0,Highway Maintenance Workers,154960.0,3.3824804856895057
47-4061,2.8449999999999998,3.2433333333333336,-0.39833333333333387,47-4061,Rail-Track Laying and Maintenance Equipment Operators,17590.0,Rail-Track Laying and Maintenance Equipment Operators,19580.0,11.313246162592382
47-4071,2.455,3.08,-0.625,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,29880.0,Septic Tank Servicers and Sewer Pipe Cleaners,30650.0,2.5769745649263722
47-5011,2.2275,2.63,-0.40249999999999986,47-5011,"Derrick Operators, Oil and Gas",9350.0,"Derrick Operators, Oil and Gas",10590.0,13.262032085561499
47-5012,2.355,2.6300000000000003,-0.27500000000000036,47-5012,"Rotary Drill Operators, Oil and Gas",15650.0,"Rotary Drill Operators, Oil and Gas",12600.0,-19.488817891373802
47-5013,2.95,2.935,0.015000000000000124,47-5013,"Service Unit Operators, Oil and Gas",43840.0,"Service Unit Operators, Oil and Gas",43140.0,-1.5967153284671534
