soc_code_clean,high_exposure_score,low_exposure_score,ai_exposure_score,soc_code,occupation_title
15-1254,2.965,1.5333333333333332,1.4316666666666666,15-1254,Web Developers
15-1255,2.83875,1.455,1.38375,15-1255,Web and Digital Interface Designers
15-1299,3.091666666666667,2.020185185185185,1.0714814814814817,15-1299,"Computer Occupations, All Other"
15-2011,3.7725,1.4100000000000001,2.3625,15-2011,Actuaries
15-2021,3.0374999999999996,1.45,1.5874999999999997,15-2021,Mathematicians
15-2031,3.245,1.7783333333333333,1.4666666666666668,15-2031,Operations Research Analysts
15-2041,3.2350000000000003,1.5250000000000001,1.7100000000000002,15-2041,Statisticians
15-2051,3.1208333333333336,1.643888888888889,1.4769444444444446,15-2051,Data Scientists
15-2099,3.3625,1.695,1.6674999999999998,15-2099,"Mathematical Science Occupations, All Other"
17-1011,3.215,3.2733333333333334,-0.05833333333333357,17-1011,"Architects, Except Landscape and Naval"
17-1012,2.865,2.986666666666667,-0.12166666666666659,17-1012,Landscape Architects
17-1021,2.8575,2.0116666666666667,0.8458333333333332,17-1021,Cartographers and Photogrammetrists
17-1022,3.4450000000000003,2.5116666666666667,0.9333333333333336,17-1022,Surveyors
17-2011,3.0675,2.231666666666667,0.835833333333333,17-2011,Aerospace Engineers
17-2021,3.495,2.8349999999999995,0.6600000000000006,17-2021,Agricultural Engineers
17-2031,3.3375,2.2133333333333334,1.1241666666666665,17-2031,Bioengineers and Biomedical Engineers
17-2041,2.9775,2.233333333333333,0.7441666666666671,17-2041,Chemical Engineers
17-2051,3.2458333333333336,3.0011111111111113,0.24472222222222229,17-2051,Civil Engineers
17-2061,3.2649999999999997,1.7616666666666667,1.503333333333333,17-2061,Computer Hardware Engineers
17-2071,3.4,2.5283333333333333,0.8716666666666666,17-2071,Electrical Engineers
17-2072,3.20625,2.2883333333333336,0.9179166666666663,17-2072,"Electronics Engineers, Except Computer"
17-2081,3.2825,2.873333333333333,0.4091666666666671,17-2081,Environmental Engineers
17-2111,3.0825,3.1758333333333333,-0.09333333333333327,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
17-2112,3.0681249999999998,2.5883333333333334,0.4797916666666664,17-2112,Industrial Engineers
17-2121,3.0925000000000002,3.1633333333333336,-0.0708333333333333,17-2121,Marine Engineers and Naval Architects
17-2131,3.1075,2.1216666666666666,0.9858333333333333,17-2131,Materials Engineers
17-2141,3.144166666666667,2.5716666666666668,0.5725000000000002,17-2141,Mechanical Engineers
17-2151,3.5125,2.4066666666666667,1.1058333333333334,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers"
17-2161,3.1,2.6750000000000003,0.4249999999999998,17-2161,Nuclear Engineers
17-2171,3.505,2.0966666666666667,1.4083333333333332,17-2171,Petroleum Engineers
17-2199,3.2165625,2.3858333333333333,0.830729166666667,17-2199,"Engineers, All Other"
17-3011,2.9525,2.69,0.2625000000000002,17-3011,Architectural and Civil Drafters
17-3012,3.2125,2.3583333333333334,0.8541666666666665,17-3012,Electrical and Electronics Drafters
17-3013,2.8875,2.316666666666667,0.5708333333333333,17-3013,Mechanical Drafters
17-3021,3.11,2.5883333333333334,0.5216666666666665,17-3021,Aerospace Engineering and Operations Technologists and Technicians
17-3022,3.46,3.14,0.31999999999999984,17-3022,Civil Engineering Technologists and Technicians
17-3023,2.885,2.4083333333333337,0.47666666666666613,17-3023,Electrical and Electronic Engineering Technologists and Technicians
17-3024,2.8775,2.250833333333333,0.6266666666666669,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians
17-3025,2.725,2.7183333333333337,0.0066666666666663765,17-3025,Environmental Engineering Technologists and Technicians
17-3026,3.31875,2.4683333333333333,0.8504166666666668,17-3026,Industrial Engineering Technologists and Technicians
17-3027,3.125,2.5966666666666667,0.5283333333333333,17-3027,Mechanical Engineering Technologists and Technicians
17-3029,3.0300000000000002,2.558333333333333,0.4716666666666671,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other"
17-3031,3.01,2.43,0.5799999999999996,17-3031,Surveying and Mapping Technicians
19-1011,3.085,2.1483333333333334,0.9366666666666665,19-1011,Animal Scientists
19-1012,3.12,2.275,0.8450000000000002,19-1012,Food Scientists and Technologists
19-1013,3.2024999999999997,2.2866666666666666,0.915833333333333,19-1013,Soil and Plant Scientists
19-1021,2.925,1.7916666666666667,1.133333333333333,19-1021,Biochemists and Biophysicists
19-1022,2.98,2.138333333333333,0.8416666666666668,19-1022,Microbiologists
19-1023,2.93,2.145,0.7850000000000001,19-1023,Zoologists and Wildlife Biologists
19-1029,2.92625,1.7354166666666666,1.1908333333333334,19-1029,"Biological Scientists, All Other"
19-1031,2.7433333333333336,2.342777777777778,0.40055555555555555,19-1031,Conservation Scientists
19-1032,3.3125,2.5233333333333334,0.7891666666666666,19-1032,Foresters
19-1041,3.0999999999999996,1.8499999999999999,1.2499999999999998,19-1041,Epidemiologists
19-1042,2.515,1.6383333333333334,0.8766666666666667,19-1042,"Medical Scientists, Except Epidemiologists"
19-2011,3.2475,1.6583333333333332,1.5891666666666668,19-2011,Astronomers
19-2012,3.16,1.7566666666666666,1.4033333333333335,19-2012,Physicists
