job_title,cluster,cluster_v2
Lead Data Scientist with Security Clearance,1,19
Medical Laboratory Scientist (MLS) & Medical Lab Technician (MLT) Opportunities,11,43
"Lead Data Engineer (Bangkok based, relocation provided)",27,58
Volunteer: Database and Reporting Support (Remote/Hybrid),26,23
MLTC-Nurse Care Manager (Brooklyn Office),10,39
Senior MS Azure Data Engineer,6,34
Head of Operations and Strategy Data Center Equipment,2,32
Intermediate Systems Administrator (Data Services) with Security Clearance,1,19
Finance Data Reconciliation Analyst,5,21
Database Reporting Analyst,5,28
Data Engineering Lead,27,22
Denver Traveling Project Superintendent - Data Center,15,24
DATABASE MANAGER / TEAM LEAD - db2,27,25
Product Manager - Data - Contract to Perm Option,7,44
"Backend Engineer, Supply Chain Data Analytics",8,51
Senior Machine Learning Engineer - HHCJP00001941,24,14
"Principal Site Reliability Engineer, Datastores (Hybrid)",4,18
Business and Data Analyst,25,55
Senior Data Integration Analyst,5,48
Assistant\/Associate Professor of Information Systems or Data Analytics,8,54
Climate Data Analyst Fellow,5,21
"Staff Software Engineer, Data Privacy",16,6
"Senior Scientist II, Ophthalmology Multi-omics Data Application",12,40
Software Engineer III / Full Stack - Data Management,16,6
Senior DB2 Database Administrator,19,30
Senior Data Platform Engineer,13,34
"AI Research Engineer, Large Language Model (Applied Machine Learning)",9,14
Assistant Professor - Applied Data Science,18,54
Senior Data Architect #TS999,29,31
Independent - Data Analyst,5,21
Data Center Technician III/IV,15,4
NY Healthcare Data/Reporting Analyst (155792),5,49
Senior Clinical Data Analyst (US),5,46
Security Supervisor - Data Entry,22,29
"Senior Data Analyst (Flights team, Bangkok-based, Relocation provided)",10,25
Staff Machine Learning Feature Engineer,24,14
"Data Management Specialist, Journeyman (ANKG23058)",21,5
Data Reporting and Analytics Manager,8,51
Staff Machine Learning Engineer,24,14
Medical Technologist/MLT FT Nights,20,33
Senior Lead Data Engineer,27,58
Data Compliance Counsel,10,39
Software Engineer in ML Engineering Platform,13,6
SAS DataFlux Specialist,21,5
Test Data Manager – Digital Platform Services,13,3
Database Administration Specialist 2- 20067154,21,5
