state,year,month,unemployment_rate,employment,labor_force
New York,2015.0,5.0,5.4,9219213.0,9744552.0
North Carolina,2015.0,5.0,5.8,4432283.0,4706315.0
North Dakota,2015.0,5.0,2.8,401458.0,412965.0
Ohio,2015.0,5.0,5.0,5440072.0,5726888.0
Oklahoma,2015.0,5.0,4.3,1749307.0,1828834.0
Oregon,2015.0,5.0,5.6,1858192.0,1968414.0
Pennsylvania,2015.0,5.0,5.5,6113327.0,6468552.0
Rhode Island,2015.0,5.0,6.2,531461.0,566373.0
South Carolina,2015.0,5.0,6.1,2104903.0,2241910.0
South Dakota,2015.0,5.0,3.1,435854.0,449843.0
Tennessee,2015.0,5.0,5.7,2900641.0,3077173.0
Texas,2015.0,5.0,4.4,12429664.0,13004689.0
Utah,2015.0,5.0,3.5,1405887.0,1457187.0
Vermont,2015.0,5.0,3.5,340094.0,352438.0
Virginia,2015.0,5.0,4.5,4042017.0,4231145.0
Washington,2015.0,5.0,5.4,3347069.0,3539458.0
West Virginia,2015.0,5.0,6.8,740604.0,794426.0
Wisconsin,2015.0,5.0,4.5,2951990.0,3091078.0
Wyoming,2015.0,5.0,4.1,288812.0,301027.0
Alabama,2015.0,6.0,6.1,2040000.0,2173391.0
Alaska,2015.0,6.0,6.2,338950.0,361540.0
Arizona,2015.0,6.0,6.1,2919814.0,3110554.0
Arkansas,2015.0,6.0,5.1,1267143.0,1334831.0
California,2015.0,6.0,6.3,17665593.0,18848420.0
Colorado,2015.0,6.0,3.8,2709421.0,2815094.0
Connecticut,2015.0,6.0,5.6,1797091.0,1903378.0
Delaware,2015.0,6.0,4.8,439535.0,461824.0
District of Columbia,2015.0,6.0,6.9,354843.0,381214.0
Florida,2015.0,6.0,5.5,9055124.0,9586944.0
Georgia,2015.0,6.0,6.1,4447025.0,4734169.0
Hawaii,2015.0,6.0,3.4,659330.0,682503.0
Idaho,2015.0,6.0,4.0,767771.0,799382.0
Illinois,2015.0,6.0,6.0,6166066.0,6556268.0
Indiana,2015.0,6.0,4.7,3107195.0,3261547.0
Iowa,2015.0,6.0,3.7,1640132.0,1702889.0
Kansas,2015.0,6.0,4.2,1433791.0,1496942.0
Kentucky,2015.0,6.0,5.2,1874754.0,1978069.0
Louisiana,2015.0,6.0,6.2,2016752.0,2150797.0
Maine,2015.0,6.0,4.4,659278.0,689522.0
Maryland,2015.0,6.0,5.1,3009469.0,3170663.0
Massachusetts,2015.0,6.0,4.8,3447433.0,3621649.0
Michigan,2015.0,6.0,5.5,4510140.0,4771847.0
Minnesota,2015.0,6.0,3.8,2904003.0,3018332.0
Mississippi,2015.0,6.0,6.4,1180051.0,1260610.0
Missouri,2015.0,6.0,5.2,2893337.0,3051939.0
Montana,2015.0,6.0,4.2,498041.0,520020.0
Nebraska,2015.0,6.0,3.0,983255.0,1013724.0
Nevada,2015.0,6.0,6.9,1298919.0,1395265.0
New Hampshire,2015.0,6.0,3.4,721993.0,747698.0
New Jersey,2015.0,6.0,5.8,4329561.0,4597878.0
New Mexico,2015.0,6.0,6.7,878794.0,942102.0
New York,2015.0,6.0,5.3,9229744.0,9742165.0
North Carolina,2015.0,6.0,5.8,4436722.0,4709361.0
North Dakota,2015.0,6.0,2.8,400880.0,412415.0
Ohio,2015.0,6.0,4.9,5443078.0,5724503.0
Oklahoma,2015.0,6.0,4.4,1748366.0,1828173.0
Oregon,2015.0,6.0,5.5,1863321.0,1972552.0
Pennsylvania,2015.0,6.0,5.4,6121599.0,6473711.0
Rhode Island,2015.0,6.0,6.0,531319.0,565447.0
South Carolina,2015.0,6.0,6.0,2108504.0,2242091.0
South Dakota,2015.0,6.0,3.1,436105.0,449968.0
Tennessee,2015.0,6.0,5.6,2905909.0,3078968.0
Texas,2015.0,6.0,4.4,12437703.0,13012436.0
Utah,2015.0,6.0,3.5,1409012.0,1460409.0
Vermont,2015.0,6.0,3.5,339631.0,351857.0
Virginia,2015.0,6.0,4.4,4043889.0,4228911.0
Washington,2015.0,6.0,5.4,3352409.0,3544400.0
West Virginia,2015.0,6.0,6.7,739950.0,793510.0
Wisconsin,2015.0,6.0,4.4,2954013.0,3090401.0
Wyoming,2015.0,6.0,4.1,288422.0,300779.0
Alabama,2015.0,7.0,6.1,2038753.0,2171593.0
Alaska,2015.0,7.0,6.2,338644.0,361138.0
Arizona,2015.0,7.0,6.1,2923947.0,3113926.0
Arkansas,2015.0,7.0,4.9,1268565.0,1334168.0
California,2015.0,7.0,6.1,17683551.0,18839426.0
Colorado,2015.0,7.0,3.6,2714079.0,2816411.0
Connecticut,2015.0,7.0,5.5,1794895.0,1899802.0
Delaware,2015.0,7.0,4.8,440447.0,462553.0
District of Columbia,2015.0,7.0,6.8,355633.0,381639.0
Florida,2015.0,7.0,5.5,9070599.0,9594674.0
Georgia,2015.0,7.0,6.0,4449743.0,4732561.0
Hawaii,2015.0,7.0,3.3,660162.0,682855.0
Idaho,2015.0,7.0,3.9,769082.0,800658.0
Illinois,2015.0,7.0,5.9,6171075.0,6558362.0
Indiana,2015.0,7.0,4.6,3114746.0,3266590.0
Iowa,2015.0,7.0,3.7,1638912.0,1701152.0
Kansas,2015.0,7.0,4.1,1435120.0,1496837.0
Kentucky,2015.0,7.0,5.2,1873354.0,1975923.0
Louisiana,2015.0,7.0,6.1,2013476.0,2144721.0
Maine,2015.0,7.0,4.3,658800.0,688316.0
Maryland,2015.0,7.0,5.0,3011021.0,3170232.0
Massachusetts,2015.0,7.0,4.7,3445963.0,3617532.0
Michigan,2015.0,7.0,5.4,4518278.0,4773803.0
Minnesota,2015.0,7.0,3.8,2904592.0,3018015.0
Mississippi,2015.0,7.0,6.3,1180996.0,1260747.0
Missouri,2015.0,7.0,5.0,2897044.0,3051015.0
Montana,2015.0,7.0,4.2,498044.0,520051.0
Nebraska,2015.0,7.0,3.0,984055.0,1014675.0
Nevada,2015.0,7.0,6.8,1300599.0,1395389.0
New Hampshire,2015.0,7.0,3.3,721800.0,746770.0
New Jersey,2015.0,7.0,5.7,4334275.0,4594206.0
New Mexico,2015.0,7.0,6.7,878314.0,941385.0
New York,2015.0,7.0,5.1,9237777.0,9736639.0
North Carolina,2015.0,7.0,5.7,4440973.0,4710903.0
North Dakota,2015.0,7.0,2.8,400580.0,412068.0
Ohio,2015.0,7.0,4.8,5444284.0,5720710.0
Oklahoma,2015.0,7.0,4.4,1746645.0,1826170.0
Oregon,2015.0,7.0,5.5,1868817.0,1976675.0
Pennsylvania,2015.0,7.0,5.4,6128703.0,6477709.0
Rhode Island,2015.0,7.0,5.9,531080.0,564458.0
South Carolina,2015.0,7.0,5.8,2111492.0,2241576.0
South Dakota,2015.0,7.0,3.0,436350.0,450029.0
Tennessee,2015.0,7.0,5.5,2910253.0,3079697.0
Texas,2015.0,7.0,4.4,12444249.0,13021327.0
Utah,2015.0,7.0,3.5,1411732.0,1463234.0
Vermont,2015.0,7.0,3.5,339191.0,351320.0
Virginia,2015.0,7.0,4.3,4045134.0,4226202.0
Washington,2015.0,7.0,5.4,3357201.0,3549209.0
West Virginia,2015.0,7.0,6.7,739274.0,792080.0
Wisconsin,2015.0,7.0,4.3,2956190.0,3090169.0
Wyoming,2015.0,7.0,4.2,287965.0,300513.0
Alabama,2015.0,8.0,6.1,2038592.0,2170789.0
Alaska,2015.0,8.0,6.2,338311.0,360803.0
Arizona,2015.0,8.0,6.1,2927735.0,3116760.0
Arkansas,2015.0,8.0,4.8,1269753.0,1333299.0
California,2015.0,8.0,6.0,17700481.0,18832394.0
Colorado,2015.0,8.0,3.5,2719018.0,2818352.0
Connecticut,2015.0,8.0,5.5,1793233.0,1897248.0
Delaware,2015.0,8.0,4.7,441354.0,463324.0
District of Columbia,2015.0,8.0,6.7,356395.0,382112.0
Florida,2015.0,8.0,5.4,9086573.0,9603740.0
Georgia,2015.0,8.0,5.9,4451724.0,4730889.0
Hawaii,2015.0,8.0,3.3,660999.0,683337.0
Idaho,2015.0,8.0,3.9,770313.0,801819.0
Illinois,2015.0,8.0,5.9,6174592.0,6560595.0
Indiana,2015.0,8.0,4.6,3122057.0,3272212.0
Iowa,2015.0,8.0,3.6,1638194.0,1700151.0
Kansas,2015.0,8.0,4.0,1436586.0,1497096.0
Kentucky,2015.0,8.0,5.2,1872988.0,1975210.0
Louisiana,2015.0,8.0,6.0,2009846.0,2138864.0
Maine,2015.0,8.0,4.2,658378.0,687297.0
Maryland,2015.0,8.0,5.0,3011997.0,3169189.0
Massachusetts,2015.0,8.0,4.7,3443969.0,3613335.0
Michigan,2015.0,8.0,5.2,4526683.0,4775840.0
Minnesota,2015.0,8.0,3.7,2904692.0,3017335.0
Mississippi,2015.0,8.0,6.3,1181419.0,1260887.0
Missouri,2015.0,8.0,4.9,2900782.0,3050439.0
Montana,2015.0,8.0,4.2,498282.0,520343.0
Nebraska,2015.0,8.0,3.0,985078.0,1015778.0
Nevada,2015.0,8.0,6.7,1302015.0,1395502.0
New Hampshire,2015.0,8.0,3.3,721985.0,746324.0
New Jersey,2015.0,8.0,5.5,4339449.0,4591020.0
New Mexico,2015.0,8.0,6.7,877754.0,940443.0
New York,2015.0,8.0,5.0,9245181.0,9732451.0
North Carolina,2015.0,8.0,5.7,4445724.0,4712347.0
North Dakota,2015.0,8.0,2.8,400542.0,411965.0
Ohio,2015.0,8.0,4.8,5443854.0,5717012.0
Oklahoma,2015.0,8.0,4.3,1744694.0,1823735.0
Oregon,2015.0,8.0,5.4,1874617.0,1980845.0
Pennsylvania,2015.0,8.0,5.3,6135356.0,6481593.0
Rhode Island,2015.0,8.0,5.8,530853.0,563629.0
South Carolina,2015.0,8.0,5.7,2114050.0,2241066.0
South Dakota,2015.0,8.0,3.0,436624.0,450086.0
Tennessee,2015.0,8.0,5.4,2914272.0,3080105.0
Texas,2015.0,8.0,4.5,12449698.0,13031358.0
Utah,2015.0,8.0,3.5,1414293.0,1465935.0
Vermont,2015.0,8.0,3.4,338865.0,350907.0
Virginia,2015.0,8.0,4.2,4045861.0,4223634.0
Washington,2015.0,8.0,5.4,3362097.0,3554823.0
West Virginia,2015.0,8.0,6.6,738638.0,790472.0
Wisconsin,2015.0,8.0,4.3,2958907.0,3091273.0
Wyoming,2015.0,8.0,4.3,287466.0,300273.0
Alabama,2015.0,9.0,6.1,2039481.0,2170975.0
Alaska,2015.0,9.0,6.3,337964.0,360526.0
