soc_code,occupation_title,employment_2025,forecast_2030,forecast_2035
33-3031,Fish and Game Wardens,5770.0,6520.909090909092,6596.36363636364
33-3041,Parking Enforcement Workers,9050.0,7522.727272727279,7220.000000000015
33-3051,Police and Sheriff's Patrol Officers,670520.0,665681.8181818182,668503.6363636364
33-3052,Transit and Railroad Police,4390.0,2459.090909090941,1701.363636363647
33-9011,Animal Control Workers,12070.0,10719.09090909094,10031.363636363647
33-9021,Private Detectives and Investigators,35580.0,39199.090909090824,42530.0
33-9031,Gaming Surveillance Officers and Gaming Investigators,9520.0,9380.909090909088,9065.909090909088
33-9032,Security Guards,1283470.0,1294494.545454543,1373035.4545454532
33-9091,Crossing Guards,94360.0,107127.27272727247,119004.09090909082
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",157550.0,125945.45454545459,121607.2727272727
33-9093,Transportation Security Screeners,50290.0,53241.81818181812,56848.18181818188
33-9094,School Bus Monitors,78420.0,106440.0,133570.0
33-9099,"Protective Service Workers, All Other",81500.0,47830.83673469536,17316.65306122601
35-1011,Chefs and Head Cooks,200040.0,211953.63636363484,245294.0909090899
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,1223240.0,1398473.6363636404,1580229.5454545468
35-2011,"Cooks, Fast Food",641070.0,820388.1818181798,931825.4545454532
35-2012,"Cooks, Institution and Cafeteria",441050.0,454408.1818181826,475037.7272727275
35-2013,"Cooks, Private Household",1100.0,1181.8181818181765,1490.4545454545441
35-2014,"Cooks, Restaurant",1409890.0,1516565.4545454532,1625452.7272727266
35-2015,"Cooks, Short Order",138650.0,93940.90909090824,65603.18181818165
35-2021,Food Preparation Workers,893600.0,901292.7272727266,926135.0
35-3011,Bartenders,756390.0,762072.7272727266,830272.2727272734
35-3023,Fast Food and Counter Workers,3854050.0,3829744.2857142836,3975238.9285714254
35-3031,Waiters and Waitresses,2270910.0,1867458.1818181872,1642195.454545468
35-3041,"Food Servers, Nonrestaurant",293900.0,279335.4545454546,286864.0909090908
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,542750.0,538052.7272727266,584104.5454545468
35-9021,Dishwashers,477450.0,406624.5454545468,375769.09090909176
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",432690.0,415963.63636363624,424988.63636363624
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,178760.0,178242.72727272706,186542.72727272706
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",130760.0,144497.27272727247,160575.90909090918
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2209760.0,2172717.2727272725,2189435.909090909
37-2012,Maids and Housekeeping Cleaners,860670.0,735601.8181818165,673084.0909090899
37-2021,Pest Control Workers,102620.0,115276.3636363633,130935.45454545412
37-3011,Landscaping and Groundskeeping Workers,952640.0,955669.0909090908,976880.0000000009
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",27050.0,25218.18181818181,25377.727272727265
37-3013,Tree Trimmers and Pruners,55160.0,58574.54545454541,64814.54545454541
39-1013,First-Line Supervisors of Gambling Services Workers,26010.0,26144.285714285797,27612.142857142957
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",103190.0,146517.0,189732.0
39-1022,First-Line Supervisors of Personal Service Workers,114110.0,126742.0,141112.0
39-2011,Animal Trainers,18770.0,23514.545454545412,27200.909090909176
39-2021,Nonfarm Animal Caretakers,266910.0,330827.2727272734,384727.7272727266
39-3011,Gaming Dealers,83910.0,64261.81818181835,54305.0
39-3012,Gaming and Sports Book Writers and Runners,8950.0,4998.181818181882,2762.727272727294
39-3021,Motion Picture Projectionists,1480.0,-1352.7272727271775,-3756.8181818181183
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",121770.0,100395.45454545412,94401.3636363633
39-3091,Amusement and Recreation Attendants,397830.0,412762.7272727266,460252.2727272734
39-3092,Costume Attendants,6510.0,5608.181818181809,5363.636363636353
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",15560.0,10631.818181818118,8420.90909090906
39-4011,Embalmers,3890.0,3579.0909090909117,3452.7272727272793
39-4021,Funeral Attendants,31090.0,28381.81818181812,25856.81818181812
39-4031,"Morticians, Undertakers, and Funeral Directors",25100.0,24144.54545454544,23664.09090909091
39-5011,Barbers,15000.0,14580.0,13743.181818181823
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",305710.0,248111.81818181835,208625.90909090824
39-5091,"Makeup Artists, Theatrical and Performance",2340.0,2682.7272727272793,2467.7272727272793
39-5092,Manicurists and Pedicurists,152770.0,185240.9090909101,219797.2727272734
39-5093,Shampooers,8070.0,2301.818181818351,-1968.6363636362366
39-5094,Skincare Specialists,72890.0,86370.0,102095.0
39-6011,Baggage Porters and Bellhops,28510.0,13027.272727273405,2265.4545454550534
39-6012,Concierges,49240.0,51497.27272727247,58119.54545454495
39-9011,Childcare Workers,518910.0,432963.6363636367,387615.4545454569
39-9031,Fitness Trainers and Aerobics Instructors,322930.0,311315.4545454541,328999.0909090908
39-9032,Recreation Workers,331490.0,265040.90909090824,237533.18181818165
39-9041,Residential Advisors,84760.0,68563.63636363577,53850.45454545412
41-1011,First-Line Supervisors of Retail Sales Workers,1121800.0,1031756.363636367,976359.0909090936
41-1012,First-Line Supervisors of Non-Retail Sales Workers,214390.0,202730.90909090918,184492.27272727247
